57 71 6201
57 73 8250
57 74 306
57 75 751
57 77 11884
57 78 5281
57 79 5070
57 80 307
57 81 5683
57 82 1530
57 83 26
57 84 177
57 85 942
57 86 629
57 87 181
57 88 216
57 90 359
57 91 4343
57 93 993
57 97 102
57 99 3374
57 103 2161
57 108 1
57 109 1
57 115 17
58 60 405
58 61 89
58 62 170
58 63 732
58 64 506
58 65 1
58 66 49
58 67 245
58 68 32
58 70 29
58 71 572
58 72 3
58 73 2457
58 74 2
58 75 470
58 77 1091
58 78 1155
58 79 295
58 80 18
58 81 111
58 82 62
58 83 28
58 84 14
58 85 13
58 86 58
58 87 7
58 88 9
58 89 2
58 90 7
58 91 112
58 93 1
58 99 303
58 103 276
59 60 7764
59 61 37091
59 65 12047
59 67 36369
59 68 19719
59 69 1042
59 73 2
59 83 221
59 85 1203
59 87 307
59 89 3327
59 91 1842
59 93 7
59 97 484
59 99 3594
59 103 530
60 61 8645
60 62 1201
60 63 8
60 64 7
60 65 598
60 66 684
60 67 8867
60 68 12537
60 70 132
60 73 12
60 74 11
60 78 1
60 79 1
60 80 1
60 81 14
60 82 28
60 83 16
60 84 56
60 85 17
60 86 45
60 87 17
60 88 59
60 90 36
60 91 376
60 99 120
60 101 150
60 103 137
61 63 22851
61 64 2233
61 65 37636
61 66 398
61 67 48757
61 68 29075
61 69 6829
61 70 170
61 71 2864
61 73 454
61 74 102
61 75 11
61 77 1867
61 78 1028
61 79 561
61 80 198
61 81 4054
61 82 1106
61 83 954
61 84 662
61 85 9155
61 86 1749
61 87 237
61 88 41
61 90 645
61 91 10547
61 93 1047
61 97 65
61 99 4226
61 101 201
61 103 3255
61 108 6
61 109 16
61 115 15
62 64 213
62 66 561
62 68 55
62 70 62
62 72 1
62 74 6
62 78 40
62 80 17
62 82 102
62 84 8
62 86 182
62 90 10
63 64 6105
63 65 7868
63 66 439
63 67 409
63 68 373
63 70 1
63 73 34
63 74 253
63 75 2
63 77 28
63 78 828
63 79 360
63 80 306
63 81 10073
63 82 1519
63 83 342
63 84 544
63 85 12017
63 86 2017
63 87 66
63 88 162
63 90 693
63 91 4648
63 93 1073
63 99 1463
